GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-reporting,com.grupocordillera.ms_reporting.report.controller,ReportController,0,40,0,0,0,11,0,8,0,8
ms-reporting,com.grupocordillera.ms_reporting.report.service.impl,ReportServiceImpl,0,59,0,0,0,17,0,8,0,8
